ofertas,Empresa,Rango_Salario,Publicado,Link
Gerente de ventas distribucion nacional (sector ferretero),HOME SENTRY,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/gerente-de-ventas-distribucion-nacional-sector-ferretero/1884486600
Administrador de seguridad - medellin,Empresa confidencial,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/administrador-de-seguridad-medellin/1884486245
Ejecutivos de ventas,Empresa confidencial,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivos-de-ventas/1884486351
Desarrollador .net senior,PERIFERIA IT CORP SAS,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-net-senior/1884486100
Profesional ii de la direccion de afiliaciones - (320169),Empresa confidencial,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesional-ii-de-la-direccion-de-afiliaciones-/1884486309
Data story teller,Banco Falabella S.A.,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/data-story-teller/1884486598
Docente self contained teacher,GIMNASIO FONTANA SA,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/docente-self-contained-teacher/1884485908
Desarrollador etl,Empresa confidencial,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-etl/1884486610
Profesional soporte de aplicaciones,Empresa confidencial,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesional-soporte-de-aplicaciones/1884486136
Ingeniero de infraestructura,UNID. MEDICA DE DIAG,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-infraestructura/1884486404
Auditor sarm - sarl,Itau Colombia,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/auditor-sarm-sarl/1884485952
Especialista financiero - sta clara,Empresa confidencial,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/especialista-financiero-sta-clara/1884486264
Id 147266 - profesional administracion contratos b2b,MOVISTAR,"$4 a $4,5 millones",17 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/id-profesional-administracion-contratos-bb/1884486342
